street_name,LOCATION,weighted_count
   6TH                          AV,4300    6TH                          AV,2.625
   6TH                          AV,4400    6TH                          AV,2.625
   6TH                          AV,4500    6TH                          AV,0.0
   6TH                          AV,4600    6TH                          AV,0.0
   6TH                          AV,4900    6TH                          AV,2.625
   6TH                          AV,5000    6TH                          AV,0.0
   6TH                          AV,5100    6TH                          AV,5.25
   6TH                          AV,5300    6TH                          AV,18.375
   6TH                          AV,5400    6TH                          AV,5.25
   6TH                          AV,5700    6TH                          AV,5.25
   6TH                          AV,5800    6TH                          AV,0.0
   6TH                          AV,5900    6TH                          AV,7.875
   6TH                          AV,6000    6TH                          AV,7.875
   6TH                          AV,6200    6TH                          AV,0.0
   6TH                          AV,6300    6TH                          AV,0.0
   6TH                          AV,6500    6TH                          AV,0.0
   6TH                          AV,6600    6TH                          AV,0.0
   6TH                          AV,6700    6TH                          AV,2.625
   6TH                          AV,7000    6TH                          AV,0.0
   76TH                         ST,7600    76TH                         ST,0.0
   7TH                          AV,1600    7TH                          AV,3.5
   7TH                          AV,1700    7TH                          AV,7.875
   7TH                          AV,1900    7TH                          AV,0.0
   7TH                          AV,2000    7TH                          AV,26.25
   7TH                          AV,2100    7TH                          AV,5.25
   7TH                          AV,2200    7TH                          AV,0.0
   7TH                          AV,2400    7TH                          AV,2.625
   7TH                          AV,2600    7TH                          AV,5.25
   7TH                          AV,2700    7TH                          AV,0.0
   7TH                          AV,2800    7TH                          AV,0.0
   7TH                          AV,2900    7TH                          AV,0.0
   7TH                          AV,3000    7TH                          AV,0.0
   7TH                          AV,3400    7TH                          AV,2.625
   7TH                          AV,3500    7TH                          AV,2.625
   7TH                          AV,3600    7TH                          AV,0.0
   7TH                          AV,4200    7TH                          AV,13.125
   7TH                          AV,4300    7TH                          AV,0.0
   7TH                          AV,4400    7TH                          AV,0.0
   7TH                          AV,4600    7TH                          AV,0.0
   7TH                          AV,4700    7TH                          AV,0.0
   7TH                          AV,4800    7TH                          AV,10.5
   7TH                          AV,4900    7TH                          AV,0.0
   7TH                          AV,5000    7TH                          AV,0.0
   7TH                          AV,5100    7TH                          AV,5.25
   7TH                          AV,5300    7TH                          AV,21.0
   7TH                          AV,5400    7TH                          AV,0.0
   7TH                          AV,5700    7TH                          AV,10.5
   7TH                          AV,5800    7TH                          AV,7.875
   7TH                          AV,5900    7TH                          AV,0.0
   7TH                          AV,6000    7TH                          AV,10.5
   7TH                          AV,6200    7TH                          AV,7.875
   7TH                          AV,6400    7TH                          AV,3.5
   7TH                          AV,6600    7TH                          AV,2.625
   7TH                          AV,6700    7TH                          AV,7.875
   7TH                          AV,7000    7TH                          AV,2.625
   7TH                          PL,10900    7TH                          PL,0.0
   7TH                          ST,100    7TH                          ST,2.625
   7TH                          ST,400    7TH                          ST,0.0
   83RD                         PL,6000    83RD                         PL,2.625
   8TH                          AV,1900    8TH                          AV,15.75
   8TH                          AV,2000    8TH                          AV,10.5
   8TH                          AV,2100    8TH                          AV,2.625
   8TH                          AV,2200    8TH                          AV,5.25
   8TH                          AV,2500    8TH                          AV,7.875
   8TH                          AV,2800    8TH                          AV,0.0
   8TH                          AV,2900    8TH                          AV,0.0
   8TH                          AV,3100    8TH                          AV,0.0
   8TH                          AV,3400    8TH                          AV,0.0
   8TH                          AV,3500    8TH                          AV,2.625
   8TH                          AV,3600    8TH                          AV,0.0
   8TH                          AV,4000    8TH                          AV,2.625
   8TH                          AV,4200    8TH                          AV,7.875
   8TH                          AV,4300    8TH                          AV,2.625
   8TH                          AV,4500    8TH                          AV,2.625
   8TH                          AV,4700    8TH                          AV,0.0
   8TH                          AV,4800    8TH                          AV,0.0
   8TH                          AV,4900    8TH                          AV,0.0
   8TH                          AV,5000    8TH                          AV,5.25
